value,id
Nepal-Pradesh_1-Terhathum-1-Sanghiya_Loktantrik-3,910
Nepal-Pradesh_1-Terhathum-1-NayaSakti-4,170
Nepal-Pradesh_1-Bhojpur-1-NCP_Maobadi-1,34394
Nepal-Pradesh_1-Bhojpur-1-Nepali_Congress-2,21696
Nepal-Pradesh_1-Bhojpur-1-NCP_Maale-3,2601
Nepal-Pradesh_1-Bhojpur-1-Deshbhakta_Ganatantrik_Morcha-4,480
Nepal-Pradesh_1-Dhankuta-1-NCP_UML-1,37333
Nepal-Pradesh_1-Dhankuta-1-RPP_Democratic-2,26874
Nepal-Pradesh_1-Dhankuta-1-Unified_RPP_Rastrabadi-3,1390
Nepal-Pradesh_1-Dhankuta-1-Sanghiya_Loktantrik-4,726
Nepal-Pradesh_1-Morang-1-NCP_UML-1,37524
Nepal-Pradesh_1-Morang-1-Nepali_Congress-2,31436
Nepal-Pradesh_1-Morang-1-Sanghiya_Loktantrik-3,1152
Nepal-Pradesh_1-Morang-1-Sanghiya_Samajbadi_Forum_Nepal-4,623
Nepal-Pradesh_1-Morang-2-Nepali_Congress-1,35819
Nepal-Pradesh_1-Morang-2-NCP_UML-2,34014
Nepal-Pradesh_1-Morang-2-Sanghiya_Samajbadi_Forum_Nepal-3,2595
Nepal-Pradesh_1-Morang-2-Rastriya_Janata_Party-4,2082
Nepal-Pradesh_1-Morang-3-NCP_UML-1,42413
Nepal-Pradesh_1-Morang-3-Nepali_Congress-2,40506
Nepal-Pradesh_1-Morang-3-NCP_Maale-3,1338
Nepal-Pradesh_1-Morang-3-Sanghiya_Loktantrik-4,1013
Nepal-Pradesh_1-Morang-4-NCP_Maobadi-1,33529
Nepal-Pradesh_1-Morang-4-Nepali_Congress-2,26800
Nepal-Pradesh_1-Morang-4-Rastriya_Janata_Party-3,3401
Nepal-Pradesh_1-Morang-4-Unified_RPP_Rastrabadi-4,1050
Nepal-Pradesh_1-Morang-4-Bibeksheel_Sajha-5,874
Nepal-Pradesh_1-Morang-5-NCP_Maobadi-1,22945
Nepal-Pradesh_1-Morang-5-Nepali_Congress-2,19153
Nepal-Pradesh_1-Morang-5-Sanghiya_Samajbadi_Forum_Nepal-3,18649
Nepal-Pradesh_1-Morang-5-Rastriya_Janata_Party-4,1895
Nepal-Pradesh_1-Morang-6-NCP_UML-1,33941
Nepal-Pradesh_1-Morang-6-Nepali_Congress-2,33266
Nepal-Pradesh_1-Morang-6-Sanghiya_Samajbadi_Forum_Nepal-3,5261
Nepal-Pradesh_1-Morang-6-Rastriya_Janata_Party-4,1118
Nepal-Pradesh_1-Sunsari-1-NCP_UML-1,44528
Nepal-Pradesh_1-Sunsari-1-Sanghiya_Samajbadi_Forum_Nepal-2,22123
Nepal-Pradesh_1-Sunsari-1-Sanghiya_Loktantrik-3,1521
Nepal-Pradesh_1-Sunsari-1-NCP_Maale-4,1366
Nepal-Pradesh_1-Sunsari-2-Nepali_Congress-1,41495
Nepal-Pradesh_1-Sunsari-2-NCP_Maobadi-2,35349
Nepal-Pradesh_1-Sunsari-2-Sanghiya_Samajbadi_Forum_Nepal-3,4834
Nepal-Pradesh_1-Sunsari-2-Rastriya_Janata_Party-4,1674
Nepal-Pradesh_1-Sunsari-3-Nepali_Congress-1,38972
Nepal-Pradesh_1-Sunsari-3-NCP_UML-2,38651
Nepal-Pradesh_1-Sunsari-3-Sanghiya_Samajbadi_Forum_Nepal-3,1854
Nepal-Pradesh_1-Sunsari-3-Independent-4,1063
Nepal-Pradesh_1-Sunsari-4-Nepali_Congress-1,32347
Nepal-Pradesh_1-Sunsari-4-NCP_UML-2,25750
Nepal-Pradesh_1-Sunsari-4-Rastriya_Janata_Party-3,5020
Nepal-Pradesh_1-Sunsari-4-Nepali_Janata_Dal-4,1089
Nepal-Pradesh_1-Sunsari-4-NCP_Maale-5,1037
Nepal-Pradesh_1-Sunsari-4-Deshbhakta_Ganatantrik_Morcha-6,747
Nepal-Pradesh_1-Sunsari-4-Unified_RPP_Rastrabadi-7,678
Nepal-Pradesh_1-Sunsari-4-Nepal_Sanghiya_Samajbadi_Party-8,435
Nepal-Pradesh_1-Sunsari-4-Bibeksheel_Sajha-9,286
Nepal-Pradesh_1-Solukhumbu-1-NCP_Maobadi-1,20747
Nepal-Pradesh_1-Solukhumbu-1-Nepali_Congress-2,17294
Nepal-Pradesh_1-Solukhumbu-1-NayaSakti-3,826
Nepal-Pradesh_1-Solukhumbu-1-Sanghiya_Samajbadi_Forum_Nepal-4,381
Nepal-Pradesh_1-Khotang-1-NCP_UML-1,37837
Nepal-Pradesh_1-Khotang-1-Nepali_Congress-2,23465
Nepal-Pradesh_1-Khotang-1-NayaSakti-3,2494
Nepal-Pradesh_1-Khotang-1-Sanghiya_Samajbadi_Forum_Nepal-4,2377
Nepal-Pradesh_1-Okhaldhunga-1-NCP_UML-1,32580
Nepal-Pradesh_1-Okhaldhunga-1-Nepali_Congress-2,27327
Nepal-Pradesh_1-Okhaldhunga-1-NCP_Maale-3,665
Nepal-Pradesh_1-Okhaldhunga-1-Sanghiya_Samajbadi_Forum_Nepal-4,543
Nepal-Pradesh_1-Udayapur-1-Nepali_Congress-1,33142
Nepal-Pradesh_1-Udayapur-1-NCP_UML-2,32594
Nepal-Pradesh_1-Udayapur-1-NCP_Maale-3,1295
Nepal-Pradesh_1-Udayapur-1-Sanghiya_Samajbadi_Forum_Nepal-4,1196
Nepal-Pradesh_1-Udayapur-2-NCP_Maobadi-1,22551
Nepal-Pradesh_1-Udayapur-2-Nepali_Congress-2,15455
Nepal-Pradesh_1-Udayapur-2-Sanghiya_Samajbadi_Forum_Nepal-3,1136
Nepal-Pradesh_1-Udayapur-2-Unified_RPP_Rastrabadi-4,292
Nepal-Pradesh_2-Saptari-1-Sanghiya_Samajbadi_Forum_Nepal-1,21712
Nepal-Pradesh_2-Saptari-1-NCP_Maobadi-2,18225
Nepal-Pradesh_2-Saptari-1-Nepali_Congress-3,15225
Nepal-Pradesh_2-Saptari-1-NayaSakti-4,1163
Nepal-Pradesh_2-Saptari-2-Sanghiya_Samajbadi_Forum_Nepal-1,21620
Nepal-Pradesh_2-Saptari-2-NCP_Maobadi-2,11580
Nepal-Pradesh_2-Saptari-2-Independent-3,9459
Nepal-Pradesh_2-Saptari-2-Nepali_Congress-4,1840
Nepal-Pradesh_2-Saptari-3-Rastriya_Janata_Party-1,22584
Nepal-Pradesh_2-Saptari-3-Nepali_Congress-2,19401
Nepal-Pradesh_2-Saptari-3-NCP_UML-3,11188
Nepal-Pradesh_2-Saptari-3-NayaSakti-4,693
Nepal-Pradesh_2-Saptari-4-Nepali_Congress-1,24113
Nepal-Pradesh_2-Saptari-4-Rastriya_Janata_Party-2,14886
Nepal-Pradesh_2-Saptari-4-NCP_UML-3,14305
Nepal-Pradesh_2-Saptari-4-Nepali_Janata_Dal-4,769
Nepal-Pradesh_2-Siraha-1-Nepali_Congress-1,23951
Nepal-Pradesh_2-Siraha-1-NCP_UML-2,21371
Nepal-Pradesh_2-Siraha-1-Sanghiya_Samajbadi_Forum_Nepal-3,13351
Nepal-Pradesh_2-Siraha-1-Bahujan_Shakti_Party-4,567
Nepal-Pradesh_2-Siraha-2-NCP_Maobadi-1,20148
Nepal-Pradesh_2-Siraha-2-Sanghiya_Samajbadi_Forum_Nepal-2,17260
Nepal-Pradesh_2-Siraha-2-Nepali_Congress-3,15597
Nepal-Pradesh_2-Siraha-2-NCP_Maale-4,1777
Nepal-Pradesh_2-Siraha-3-NCP_UML-1,23272
Nepal-Pradesh_2-Siraha-3-Sanghiya_Samajbadi_Forum_Nepal-2,21220
Nepal-Pradesh_2-Siraha-3-Nepali_Congress-3,11778
Nepal-Pradesh_2-Siraha-3-NCP_Maale-4,821
Nepal-Pradesh_2-Siraha-4-Rastriya_Janata_Party-1,21144
Nepal-Pradesh_2-Siraha-4-NCP_Maobadi-2,17575
Nepal-Pradesh_2-Siraha-4-Nepali_Congress-3,10088
Nepal-Pradesh_2-Siraha-4-NCP_Maale-4,2219
Nepal-Pradesh_2-Dhanusha-1-NCP_Maobadi-1,26418
Nepal-Pradesh_2-Dhanusha-1-Sanghiya_Samajbadi_Forum_Nepal-2,17296
Nepal-Pradesh_2-Dhanusha-1-Nepali_Congress-3,15679
Nepal-Pradesh_2-Dhanusha-1-Independent-4,3492
Nepal-Pradesh_2-Dhanusha-2-Sanghiya_Samajbadi_Forum_Nepal-1,32044
Nepal-Pradesh_2-Dhanusha-2-NCP_Maobadi-2,18715
Nepal-Pradesh_2-Dhanusha-2-Nepali_Congress-3,15442
Nepal-Pradesh_2-Dhanusha-2-Unified_RPP_Rastrabadi-4,666
Nepal-Pradesh_2-Dhanusha-3-Rastriya_Janata_Party-1,30750
Nepal-Pradesh_2-Dhanusha-3-Nepali_Congress-2,27847
Nepal-Pradesh_2-Dhanusha-3-NCP_Maobadi-3,2346
Nepal-Pradesh_2-Dhanusha-3-NCP_Maale-4,345
Nepal-Pradesh_2-Dhanusha-4-NCP_UML-1,22532
Nepal-Pradesh_2-Dhanusha-4-Nepali_Congress-2,19991
Nepal-Pradesh_2-Dhanusha-4-Sanghiya_Samajbadi_Forum_Nepal-3,19662
Nepal-Pradesh_2-Dhanusha-4-Deshbhakta_Loktantrik_Party-4,284
Nepal-Pradesh_2-Mahottari-1-NCP_Maobadi-1,23776
Nepal-Pradesh_2-Mahottari-1-Sanghiya_Samajbadi_Forum_Nepal-2,19492
Nepal-Pradesh_2-Mahottari-1-Nepali_Congress-3,9475
Nepal-Pradesh_2-Mahottari-1-Unified_RPP_Rastrabadi-4,245
Nepal-Pradesh_2-Mahottari-2-Rastriya_Janata_Party-1,30722
Nepal-Pradesh_2-Mahottari-2-Nepali_Congress-2,13974
Nepal-Pradesh_2-Mahottari-2-NCP_Maobadi-3,3732
Nepal-Pradesh_2-Mahottari-2-NCP_Maale-4,585
Nepal-Pradesh_2-Mahottari-3-Rastriya_Janata_Party-1,26845
Nepal-Pradesh_2-Mahottari-3-NCP_UML-2,8676
Nepal-Pradesh_2-Mahottari-3-Independent-3,4020
Nepal-Pradesh_2-Mahottari-3-Bahujan_Shakti_Party-4,1884
Nepal-Pradesh_2-Mahottari-4-Sanghiya_Samajbadi_Forum_Nepal-1,18353
Nepal-Pradesh_2-Mahottari-4-Nepali_Congress-2,13025
Nepal-Pradesh_2-Mahottari-4-NCP_Maobadi-3,12945
Nepal-Pradesh_2-Mahottari-4-Independent-4,1647
Nepal-Pradesh_2-Sarlahi-1-Rastriya_Janata_Party-1,22036
Nepal-Pradesh_2-Sarlahi-1-NCP_UML-2,21465
Nepal-Pradesh_2-Sarlahi-1-Nepali_Congress-3,20075
Nepal-Pradesh_2-Sarlahi-1-NayaSakti-4,457
Nepal-Pradesh_2-Sarlahi-2-Rastriya_Janata_Party-1,29191
Nepal-Pradesh_2-Sarlahi-2-Nepali_Congress-2,18976
Nepal-Pradesh_2-Sarlahi-2-NCP_Maobadi-3,8037
Nepal-Pradesh_2-Sarlahi-2-NayaSakti-4,1449
Nepal-Pradesh_2-Sarlahi-3-NCP_Maobadi-1,22367
Nepal-Pradesh_2-Sarlahi-3-Nepali_Congress-2,14929
Nepal-Pradesh_2-Sarlahi-3-Independent-3,12086
Nepal-Pradesh_2-Sarlahi-3-Sanghiya_Samajbadi_Forum_Nepal-4,10834
Nepal-Pradesh_2-Sarlahi-4-Nepali_Congress-1,29675
Nepal-Pradesh_2-Sarlahi-4-Rastriya_Janata_Party-2,28136
Nepal-Pradesh_2-Sarlahi-4-Nepali_Janata_Dal-3,468
Nepal-Pradesh_2-Sarlahi-4-Independent-4,460
Nepal-Pradesh_2-Rautahat-1-Rastriya_Janata_Party-1,21472
Nepal-Pradesh_2-Rautahat-1-Nepali_Congress-2,15874
Nepal-Pradesh_2-Rautahat-1-NCP_Maobadi-3,12331
Nepal-Pradesh_2-Rautahat-1-Independent-4,1669
Nepal-Pradesh_2-Rautahat-2-Nepali_Congress-1,18833
Nepal-Pradesh_2-Rautahat-2-Sanghiya_Samajbadi_Forum_Nepal-2,16865
Nepal-Pradesh_2-Rautahat-2-NCP_UML-3,13883
Nepal-Pradesh_2-Rautahat-2-Nepali_Janata_Dal-4,709
Nepal-Pradesh_2-Rautahat-3-NCP_Maobadi-1,27799
Nepal-Pradesh_2-Rautahat-3-Nepali_Congress-2,18206
Nepal-Pradesh_2-Rautahat-3-Rastriya_Janata_Party-3,14658
Nepal-Pradesh_2-Rautahat-3-Nepali_Janata_Dal-4,362
Nepal-Pradesh_2-Rautahat-4-Nepali_Congress-1,28228
Nepal-Pradesh_2-Rautahat-4-NCP_UML-2,23006
Nepal-Pradesh_2-Rautahat-4-Rastriya_Janata_Party-3,7881
Nepal-Pradesh_2-Rautahat-4-NCP_Maale-4,607
Nepal-Pradesh_2-Bara-1-Nepali_Congress-1,24450
Nepal-Pradesh_2-Bara-1-NCP_UML-2,22030
Nepal-Pradesh_2-Bara-1-Rastriya_Janata_Party-3,20144
Nepal-Pradesh_2-Bara-1-Bibeksheel_Sajha-4,200
Nepal-Pradesh_2-Bara-2-Sanghiya_Samajbadi_Forum_Nepal-1,28185
Nepal-Pradesh_2-Bara-2-Nepali_Congress-2,15790
Nepal-Pradesh_2-Bara-2-NCP_Maobadi-3,10546
Nepal-Pradesh_2-Bara-2-Nepali_Janata_Dal-4,545
Nepal-Pradesh_2-Bara-3-Sanghiya_Samajbadi_Forum_Nepal-1,21336
Nepal-Pradesh_2-Bara-3-NCP_UML-2,16362
Nepal-Pradesh_2-Bara-3-Nepali_Congress-3,16086
Nepal-Pradesh_2-Bara-3-Nepal_Janata_Party-4,463
Nepal-Pradesh_2-Bara-4-Rastriya_Janata_Party-1,22275
Nepal-Pradesh_2-Bara-4-NCP_UML-2,20607
Nepal-Pradesh_2-Bara-4-Nepali_Congress-3,14516
Nepal-Pradesh_2-Bara-4-Unified_RPP_Rastrabadi-4,828
Nepal-Pradesh_2-Bara-4-NayaSakti-5,704
Nepal-Pradesh_2-Bara-4-Bibeksheel_Sajha-6,547
Nepal-Pradesh_2-Parsa-1-Sanghiya_Samajbadi_Forum_Nepal-1,21132
Nepal-Pradesh_2-Parsa-1-Nepali_Congress-2,16481
Nepal-Pradesh_2-Parsa-1-NCP_UML-3,5418
Nepal-Pradesh_2-Parsa-1-NCP_Maale-4,608
Nepal-Pradesh_2-Parsa-1-Nepal_Sanghiya_Samajbadi_Party-5,311
Nepal-Pradesh_2-Parsa-1-Unified_RPP_Rastrabadi-6,147
Nepal-Pradesh_2-Parsa-1-Independent-7,118
Nepal-Pradesh_2-Parsa-1-Bibeksheel_Sajha-8,104
Nepal-Pradesh_2-Parsa-2-Sanghiya_Samajbadi_Forum_Nepal-1,21169
Nepal-Pradesh_2-Parsa-2-Nepali_Congress-2,19704
Nepal-Pradesh_2-Parsa-2-NCP_Maobadi-3,6729
Nepal-Pradesh_2-Parsa-2-Janasawajbadi_Party-4,619
Nepal-Pradesh_2-Parsa-3-Sanghiya_Samajbadi_Forum_Nepal-1,15168
Nepal-Pradesh_2-Parsa-3-Nepali_Congress-2,13801
Nepal-Pradesh_2-Parsa-3-NCP_UML-3,10986
Nepal-Pradesh_2-Parsa-3-Nepal_Sanghiya_Samajbadi_Party-4,10009
Nepal-Pradesh_2-Parsa-4-Rastriya_Janata_Party-1,20738
Nepal-Pradesh_2-Parsa-4-Nepali_Congress-2,14702
Nepal-Pradesh_2-Parsa-4-NCP_Maobadi-3,9617
Nepal-Pradesh_2-Parsa-4-Nepal_Sanghiya_Samajbadi_Party-4,2789
Nepal-Pradesh_3-Dolakha-1-NCP_UML-1,55457
Nepal-Pradesh_3-Dolakha-1-Nepali_Congress-2,24813
Nepal-Pradesh_3-Dolakha-1-Mangol_National_Org-3,772
Nepal-Pradesh_3-Dolakha-1-Sanghiya_Samajbadi_Forum_Nepal-4,308
Nepal-Pradesh_3-Dolakha-1-Bibeksheel_Sajha-5,303
Nepal-Pradesh_3-Ramechaap-1-NCP_Maobadi-1,42117
Nepal-Pradesh_3-Ramechaap-1-Nepali_Congress-2,35771
Nepal-Pradesh_3-Ramechaap-1-NCP_Maale-3,3285
Nepal-Pradesh_3-Ramechaap-1-Unified_RPP_Rastrabadi-4,343
Nepal-Pradesh_3-Sindhuli-1-NCP_UML-1,32529
Nepal-Pradesh_3-Sindhuli-1-Nepali_Congress-2,22389
Nepal-Pradesh_3-Sindhuli-1-NCP_Maale-3,888
Nepal-Pradesh_3-Sindhuli-1-NayaSakti-4,648
Nepal-Pradesh_3-Sindhuli-2-NCP_Maobadi-1,30179
Nepal-Pradesh_3-Sindhuli-2-Nepali_Congress-2,18127
Nepal-Pradesh_3-Sindhuli-2-NCP_Maale-3,1272
Nepal-Pradesh_3-Sindhuli-2-NayaSakti-4,455
Nepal-Pradesh_3-Rasuwa-1-Nepali_Congress-1,14453
Nepal-Pradesh_3-Rasuwa-1-NCP_UML-2,10278
Nepal-Pradesh_3-Rasuwa-1-Independent-3,104
Nepal-Pradesh_3-Rasuwa-1-Mangol_National_Org-4,44
Nepal-Pradesh_3-Dhading-1-NCP_UML-1,49121
Nepal-Pradesh_3-Dhading-1-Nepali_Congress-2,21968
Nepal-Pradesh_3-Dhading-1-Janasawajbadi_Party-3,2060
Nepal-Pradesh_3-Dhading-1-Bibeksheel_Sajha-4,347
Nepal-Pradesh_3-Dhading-2-NCP_UML-1,36256
Nepal-Pradesh_3-Dhading-2-Nepali_Congress-2,35616
Nepal-Pradesh_3-Dhading-2-Nepali_Janata_Dal-3,577
Nepal-Pradesh_3-Dhading-2-Unified_RPP_Rastrabadi-4,346
Nepal-Pradesh_3-Nuwakot-1-NCP_Maobadi-1,36473
Nepal-Pradesh_3-Nuwakot-1-Nepali_Congress-2,27920
Nepal-Pradesh_3-Nuwakot-1-Unified_RPP_Rastrabadi-3,898
Nepal-Pradesh_3-Nuwakot-1-Mangol_National_Org-4,178
Nepal-Pradesh_3-Nuwakot-2-NCP_UML-1,36892
Nepal-Pradesh_3-Nuwakot-2-Nepali_Congress-2,26335
Nepal-Pradesh_3-Nuwakot-2-NCP_Maale-3,947
Nepal-Pradesh_3-Nuwakot-2-NayaSakti-4,252
Nepal-Pradesh_3-Nuwakot-2-Sanghiya_Samajbadi_Forum_Nepal-5,209
Nepal-Pradesh_3-Nuwakot-2-Bibeksheel_Sajha-6,205
Nepal-Pradesh_3-Kathmandu-1-Nepali_Congress-1,10936
Nepal-Pradesh_3-Kathmandu-1-Bibeksheel_Sajha-2,10118
Nepal-Pradesh_3-Kathmandu-1-NCP_Maobadi-3,5336
Nepal-Pradesh_3-Kathmandu-1-NCP_Maale-4,315
Nepal-Pradesh_3-Kathmandu-2-NCP_UML-1,27366
Nepal-Pradesh_3-Kathmandu-2-Nepali_Congress-2,14903
Nepal-Pradesh_3-Kathmandu-2-Bibeksheel_Sajha-3,7437
Nepal-Pradesh_3-Kathmandu-3-NCP_UML-1,19169
Nepal-Pradesh_3-Kathmandu-3-Nepali_Congress-2,14884
Nepal-Pradesh_3-Kathmandu-3-Bibeksheel_Sajha-3,2205
Nepal-Pradesh_3-Kathmandu-4-Nepali_Congress-1,21558
Nepal-Pradesh_3-Kathmandu-4-NCP_UML-2,18140
Nepal-Pradesh_3-Kathmandu-4-Bibeksheel_Sajha-3,3040
Nepal-Pradesh_3-Kathmandu-5-NCP_UML-1,23029
Nepal-Pradesh_3-Kathmandu-5-Nepali_Congress-2,13169
Nepal-Pradesh_3-Kathmandu-5-Bibeksheel_Sajha-3,6853
Nepal-Pradesh_3-Kathmandu-5-Nepal_Majdur_Kisaan_Party-4,636
Nepal-Pradesh_3-Kathmandu-6-Nepali_Congress-1,16785
Nepal-Pradesh_3-Kathmandu-6-NCP_Maobadi-2,15485
Nepal-Pradesh_3-Kathmandu-6-Bibeksheel_Sajha-3,4225
Nepal-Pradesh_3-Kathmandu-6-Janasawajbadi_Party-4,791
Nepal-Pradesh_3-Kathmandu-7-NCP_UML-1,18102
Nepal-Pradesh_3-Kathmandu-7-RPP-2,10079
Nepal-Pradesh_3-Kathmandu-7-Bibeksheel_Sajha-3,5376
Nepal-Pradesh_3-Kathmandu-7-Sanghiya_Samajbadi_Forum_Nepal-4,1781
Nepal-Pradesh_3-Kathmandu-8-NCP_UML-1,13397
Nepal-Pradesh_3-Kathmandu-8-Nepali_Congress-2,12953
Nepal-Pradesh_3-Kathmandu-8-Bibeksheel_Sajha-3,4414
Nepal-Pradesh_3-Kathmandu-9-NCP_UML-1,22852
Nepal-Pradesh_3-Kathmandu-9-Nepali_Congress-2,14802
Nepal-Pradesh_3-Kathmandu-9-Bibeksheel_Sajha-3,4946
Nepal-Pradesh_3-Kathmandu-10-Nepali_Congress-1,24190
Nepal-Pradesh_3-Kathmandu-10-NCP_Maobadi-2,21907
Nepal-Pradesh_3-Kathmandu-10-Bibeksheel_Sajha-3,2003
Nepal-Pradesh_3-Kathmandu-10-NCP_Maale-4,1757
Nepal-Pradesh_3-Kathmandu-10-NayaSakti-5,1195
Nepal-Pradesh_3-Kathmandu-10-Nepali_Congress_BP-6,927
Nepal-Pradesh_3-Bhaktapur-1-Nepal_Majdur_Kisaan_Party-1,33076
Nepal-Pradesh_3-Bhaktapur-1-Nepali_Congress-2,17818
Nepal-Pradesh_3-Bhaktapur-1-NCP_Maobadi-3,15374
Nepal-Pradesh_3-Bhaktapur-1-Bibeksheel_Sajha-4,2330
Nepal-Pradesh_3-Bhaktapur-2-NCP_UML-1,36412
Nepal-Pradesh_3-Bhaktapur-2-Nepali_Congress-2,18687
Nepal-Pradesh_3-Bhaktapur-2-Nepal_Majdur_Kisaan_Party-3,5471
Nepal-Pradesh_3-Bhaktapur-2-Bibeksheel_Sajha-4,1784
Nepal-Pradesh_3-Lalitpur-1-NCP_UML-1,26951
Nepal-Pradesh_3-Lalitpur-1-Nepali_Congress-2,20729
Nepal-Pradesh_3-Lalitpur-1-NCP_Maale-3,515
Nepal-Pradesh_3-Lalitpur-1-Bibeksheel_Sajha-4,255
Nepal-Pradesh_3-Lalitpur-2-NCP_UML-1,27713
Nepal-Pradesh_3-Lalitpur-2-Nepali_Congress-2,16945
Nepal-Pradesh_3-Lalitpur-2-Bibeksheel_Sajha-3,5408
Nepal-Pradesh_3-Lalitpur-3-NCP_Maobadi-1,24036
Nepal-Pradesh_3-Lalitpur-3-Nepali_Congress-2,22328
Nepal-Pradesh_3-Lalitpur-3-Bibeksheel_Sajha-3,7628
Nepal-Pradesh_3-Lalitpur-3-NCP_Maale-4,2121
Nepal-Pradesh_3-Kavrepalanchowk-1-NCP_Maobadi-1,43631
Nepal-Pradesh_3-Kavrepalanchowk-1-Nepali_Congress-2,39605
Nepal-Pradesh_3-Kavrepalanchowk-1-NCP_Maale-3,3133
Nepal-Pradesh_3-Kavrepalanchowk-1-Nepali_Janata_Dal-4,955
Nepal-Pradesh_3-Kavrepalanchowk-1-Bibeksheel_Sajha-5,784
Nepal-Pradesh_3-Kavrepalanchowk-2-NCP_UML-1,55526
Nepal-Pradesh_3-Kavrepalanchowk-2-Nepali_Congress-2,36753
Nepal-Pradesh_3-Kavrepalanchowk-2-Nepali_Janata_Dal-3,1106
Nepal-Pradesh_3-Kavrepalanchowk-2-Bibeksheel_Sajha-4,877
Nepal-Pradesh_3-Sindhupalchowk-1-NCP_Maobadi-1,40504
Nepal-Pradesh_3-Sindhupalchowk-1-Nepali_Congress-2,29798
Nepal-Pradesh_3-Sindhupalchowk-1-Janasawajbadi_Party-3,1702
Nepal-Pradesh_3-Sindhupalchowk-2-NCP_UML-1,38401
Nepal-Pradesh_3-Sindhupalchowk-2-RPP_Democratic-2,30369
Nepal-Pradesh_3-Sindhupalchowk-2-Unified_RPP_Rastrabadi-3,1341
Nepal-Pradesh_3-Sindhupalchowk-2-NCP_Maale-4,1279
Nepal-Pradesh_3-Sindhupalchowk-2-Bibeksheel_Sajha-5,153
Nepal-Pradesh_3-Makwanpur-1-NCP_UML-1,40631
Nepal-Pradesh_3-Makwanpur-1-RPP-2,34658
Nepal-Pradesh_3-Makwanpur-1-NCP_Maale-3,1419
Nepal-Pradesh_3-Makwanpur-1-Bibeksheel_Sajha-4,1356
Nepal-Pradesh_3-Makwanpur-2-NCP_UML-1,46481
Nepal-Pradesh_3-Makwanpur-2-Nepali_Congress-2,34090
Nepal-Pradesh_3-Makwanpur-2-NayaSakti-3,621
Nepal-Pradesh_3-Makwanpur-2-Bibeksheel_Sajha-4,469
Nepal-Pradesh_3-Chitwan-1-NCP_UML-1,51080
Nepal-Pradesh_3-Chitwan-1-Nepali_Congress-2,35360
